KU    , Dato  , Tid     , EBU ,   ,     , SMPTE,  ,     ,  BW ,    ,Halogen,, Ref EBU,,     , Ref SMPTE,,   , Ref BW, ,Design, Zone,,,Ugekode,,   ,SW rev
      ,       ,         , x   ,y  ,Y    , x  ,y   ,Y    , x   ,y   ,x  ,y   ,x   ,y   ,Y    ,x   ,y   ,Y    ,x   ,y   ,RGB,  R,G,B ,R   ,G   ,B   ,    ,CertNo ,Type, Ref mon, Bem‘rkninger
042136, 990208, 14:38:35,3064,3307, 81.1,3186,3383,105.6,2792,2774,4908,3935,    ,    ,     ,    ,    ,     ,    ,    ,***,**,**,**,****,****,****,03.4,*****,  90  ,     EBU, Produktion/efter varme 2.
042137, 990208, 14:39:55,3073,3295, 80.6,3202,3364,105.7,2807,2766,4895,3950,    ,    ,     ,    ,    ,     ,    ,    ,***,**,**,**,****,****,****,03.4,*****,  90  ,     EBU, Produktion/efter varme 1.
042137, 990208, 14:50:29,3069,3307, 80.9,3199,3381,105.7,2804,2777,4888,3956,    ,    ,     ,    ,    ,     ,    ,    ,***,**,**,**,****,****,****,03.4,*****,  90  ,     EBU, Produktion/efter varme 2.
000004, 990208, 15:08:18,    ,    ,     ,    ,    ,     ,    ,    ,    ,    ,2950,3197, 78.1,3003,3276,103.0,2497,2687,   ,  ,  ,  ,    ,    ,    ,    ,     ,      ,        , ref sensor
042138, 990208, 15:09:18,3072,3309, 80.4,3197,3383,105.6,2786,2783,4898,3954,    ,    ,     ,    ,    ,     ,    ,    ,332,24,24,57,1998,0998,1398,03.4,*****,  90  ,     EBU, Produktion/f›r varme.
020907, 990209, 10:58:34,3068,3301, 80.7,3170,3388,107.1,2668,2815,4846,3887,    ,    ,     ,    ,    ,     ,    ,    ,332,24,24,24,2698,3298,2698,    ,*****,  93  ,     EBU, Produktion/f›r varme.
000004, 990210, 11:13:05,    ,    ,     ,    ,    ,     ,    ,    ,    ,    ,2951,3202, 78.4,3001,3277,102.6,2498,2685,   ,  ,  ,  ,    ,    ,    ,    ,     ,      ,        , ref sensor
041629, 990210, 11:14:49,3068,3307, 81.5,3180,3378,104.0,2709,2866,4788,3948,    ,    ,     ,    ,    ,     ,    ,    ,***,**,**,**,****,****,****,03.2,10999,  90  ,     EBU, Reparation/Edax.
000004, 990210, 14:19:17,    ,    ,     ,    ,    ,     ,    ,    ,    ,    ,2949,3200, 78.5,2998,3290,102.9,2497,2687,   ,  ,  ,  ,    ,    ,    ,    ,     ,      ,        , ref sensor
030956, 990210, 14:20:49,3071,3309, 80.8,3167,3397,104.9,2636,2868,4731,4009,    ,    ,     ,    ,    ,     ,    ,    ,***,**,**,**,****,****,****,02.1,*****,  90  ,     EBU, Reparation.
