#Release 8.1.03i - par I.27
#Copyright (c) 1995-2005 Xilinx, Inc.  All rights reserved.

#Thu Jun 28 10:51:23 2007

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       HD_Gen_Module_map.ncd
#OUTPUT FILE:      HD_Gen_Module_pad.csv
#PART TYPE:        xc2vp20
#SPEED GRADE:      -6
#PACKAGE:          ff896
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,DCI Value,IO Register,Signal Integrity,
AD21,,DIFFS,IO_L07N_5/VREF_5,UNUSED,,5,,,,,,,,,,
AD22,,DIFFS,IO_L02N_5/D6,UNUSED,,5,,,,,,,,,,
AD23,mreset_i,IOB,IO_L05_5/No_Pair,INPUT,LVCMOS25,5,,,,NONE,,LOCATED,,NO,NONE,
AD24,,,M0,,,,,,,,,,,,,
AD25,pc_data_o<16>,IOB,IO_L05P_6,OUTPUT,LVCMOS25,6,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
AD26,,DIFFS,IO_L05N_6,UNUSED,,6,,,,,,,,,,
AD27,,DIFFM,IO_L37P_6,UNUSED,,6,,,,,,,,,,
AD28,,DIFFS,IO_L37N_6,UNUSED,,6,,,,,,,,,,
AD29,led_o<2>,IOB,IO_L42P_6,OUTPUT,LVCMOS25,6,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
AD30,,DIFFS,IO_L42N_6,UNUSED,,6,,,,,,,,,,
AE1,,DIFFS,IO_L39N_3/VREF_3,UNUSED,,3,,,,,,,,,,
AE2,,DIFFM,IO_L39P_3,UNUSED,,3,,,,,,,,,,
AE3,,DIFFS,IO_L33N_3/VREF_3,UNUSED,,3,,,,,,,,,,
AE4,,DIFFM,IO_L33P_3,UNUSED,,3,,,,,,,,,,
AE5,,DIFFS,IO_L31N_3,UNUSED,,3,,,,,,,,,,
AE6,,,GND,,,,,,,,,,,,,
