Release 7.1.03i - par H.41
Copyright (c) 1995-2005 Xilinx, Inc.  All rights reserved.

#Mon Oct 10 17:19:29 2005

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       my_gt11_map.ncd
#OUTPUT FILE:      my_gt11_pad.csv
#PART TYPE:        xc4vfx20
#SPEED GRADE:      -12
#PACKAGE:          ff672
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
# Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,DCI Value,IO Register,Signal Integrity,
AE8,,,AVCCAUXRXB_110,,,,,,,,,,,,,
AE9,,,GNDA_110,,,,,,,,,,,,,
AE10,,,RTERM_110,,,,,,,,,,,,,
AE11,,,GNDA_110,,,,,,,,,,,,,
AE12,,,MGTVREF_110,,,,,,,,,,,,,
AE13,,LOWCAPIOB,IO_L4P_GC_LC_4,UNUSED,,4,,,,,,,,,,
AE14,,,VCCO_4,,,4,,,,,2.50,,,,,
AE15,,LOWCAPIOB,IO_L1P_GC_LC_4,UNUSED,,4,,,,,,,,,,
AE16,,,NC,,,,,,,,,,,,,
AE17,,,NC,,,,,,,,,,,,,
AE18,,,NC,,,,,,,,,,,,,
AE19,,,MGTVREF_105,,,,,,,,,,,,,
AE20,,,GNDA_105,,,,,,,,,,,,,
AE21,,,RTERM_105,,,,,,,,,,,,,
AE22,,,GNDA_105,,,,,,,,,,,,,
AE23,,,AVCCAUXRXB_105,,,,,,,,,,,,,
AE24,,,AVCCAUXMGT_105,,,,,,,,,,,,,
AE25,,,GNDA_105,,,,,,,,,,,,,
AE26,TX1N_OUT,OPAD,TXNPADB_105,OUTPUT,,,,,,,,,,NO,NONE,
AF2,,OPAD,TXPPADA_110,UNUSED,,,,,,,,,,,,
AF3,,OPAD,TXNPADA_110,UNUSED,,,,,,,,,,,,
AF4,,OPAD,TXPPADB_110,UNUSED,,,,,,,,,,,,
AF5,,OPAD,TXNPADB_110,UNUSED,,,,,,,,,,,,
AF6,,,VTRXB_110,,,,,,,,,,,,,
AF7,,IPAD,RXPPADB_110,UNUSED,,,,,,,,,,,,
AF8,,IPAD,RXNPADB_110,UNUSED,,,,,,,,,,,,
AF9,,,GNDA_110,,,,,,,,,,,,,
AF10,,IPAD,MGTCLK_P_110,UNUSED,,,,,,,,,,,,
AF11,,IPAD,MGTCLK_N_110,UNUSED,,,,,,,,,,,,
AF12,,,GNDA_110,,,,,,,,,,,,,
AF13,,LOWCAPIOB,IO_L2N_GC_LC_4,UNUSED,,4,,,,,,,,,,
AF14,,LOWCAPIOB,IO_L2P_GC_LC_4,UNUSED,,4,,,,,,,,,,
AF15,,LOWCAPIOB,IO_L1N_GC_LC_4,UNUSED,,4,,,,,,,,,,
AF16,,,NC,,,,,,,,,,,,,
AF17,,,NC,,,,,,,,,,,,,
AF18,,,NC,,,,,,,,,,,,,
AF19,,,GNDA_105,,,,,,,,,,,,,
AF20,,IPAD,MGTCLK_N_105,UNUSED,,,,,,,,,,,,
AF21,,IPAD,MGTCLK_P_105,UNUSED,,,,,,,,,,,,
AF22,,,GNDA_105,,,,,,,,,,,,,
AF23,RX1N_IN,IPAD,RXNPADB_105,INPUT,,,,,,NONE,,,,NO,NONE,
AF24,RX1P_IN,IPAD,RXPPADB_105,INPUT,,,,,,NONE,,,,NO,NONE,
AF25,,,VTRXB_105,,,,,,,,,,,,,
B1,,OPAD,TXPPADA_113,UNUSED,,,,,,,,,,,,
B2,,,GNDA_113,,,,,,,,,,,,,
B3,,,GNDA_113,,,,,,,,,,,,,
B4,,,AVCCAUXRXA_113,,,,,,,,,,,,,
B5,,,GNDA_113,,,,,,,,,,,,,
B6,,IOBM,IO_L10P_6,UNUSED,,6,,,,,,,,,,
B7,,IOBM,IO_L6P_6,UNUSED,,6,,,,,,,,,,
B8,,,GND,,,,,,,,,,,,,
B9,,IOBM,IO_L17P_6,UNUSED,,6,,,,,,,,,,
B10,,IOBM,IO_L23P_VRN_6,UNUSED,,6,,,,,,,,,,
B11,,IOBS,IO_L27N_6,UNUSED,,6,,,,,,,,,,
B12,,LOWCAPIOB,IO_L8N_GC_LC_3,UNUSED,,3,,,,,,,,,,
B13,,,VCCO_3,,,3,,,,,2.50,,,,,
B14,,LOWCAPIOB,IO_L5N_GC_LC_3,UNUSED,,3,,,,,,,,,,
B15,,IOBS,IO_L32N_5,UNUSED,,5,,,,,,,,,,
B16,,IOBM,IO_L30P_5,UNUSED,,5,,,,,,,,,,
B17,,LOWCAPIOB,IO_L24N_CC_LC_5,UNUSED,,5,,,,,,,,,,
B18,,,GND,,,,,,,,,,,,,
